,Instrument,Date,Price Open,Price High,Price Low,Price Close,Volume
508,GOOGL.O,2018-01-08T00:00:00Z,1111.0,1119.16,1110.0,1114.21,1232221
509,GOOGL.O,2018-01-09T00:00:00Z,1118.44,1118.44,1108.201,1112.79,1340381
510,GOOGL.O,2018-01-10T00:00:00Z,1107.0,1112.78,1103.9842,1110.14,1036655
511,GOOGL.O,2018-01-11T00:00:00Z,1112.31,1114.85,1106.48,1112.05,1121216
512,GOOGL.O,2018-01-12T00:00:00Z,1110.1,1131.3025,1108.0101,1130.65,1929306
513,GOOGL.O,2018-01-16T00:00:00Z,1140.31,1148.88,1126.66,1130.7,1823100
514,GOOGL.O,2018-01-17T00:00:00Z,1136.36,1139.32,1123.49,1139.1,1391510
515,GOOGL.O,2018-01-18T00:00:00Z,1139.35,1140.585,1124.465,1135.97,1374873
516,GOOGL.O,2018-01-19T00:00:00Z,1138.03,1143.7797,1132.5,1143.5,1527554
517,GOOGL.O,2018-01-22T00:00:00Z,1143.82,1166.88,1141.82,1164.16,1477520
518,GOOGL.O,2018-01-23T00:00:00Z,1170.62,1178.51,1167.25,1176.17,1956865
519,GOOGL.O,2018-01-24T00:00:00Z,1184.98,1187.05,1167.401,1171.29,1856429
520,GOOGL.O,2018-01-25T00:00:00Z,1180.71,1185.0,1171.84,1182.14,1499247
521,GOOGL.O,2018-01-26T00:00:00Z,1187.53,1187.56,1168.03,1187.56,2108502
522,GOOGL.O,2018-01-29T00:00:00Z,1188.0,1198.0,1184.06,1186.48,1574708
523,GOOGL.O,2018-01-30T00:00:00Z,1177.72,1187.93,1174.51,1177.37,1866883
524,GOOGL.O,2018-01-31T00:00:00Z,1183.81,1186.32,1172.1,1182.22,1801135
525,GOOGL.O,2018-02-01T00:00:00Z,1175.99,1187.45,1169.36,1181.59,3675709
526,GOOGL.O,2018-02-02T00:00:00Z,1127.42,1131.3,1111.17,1119.2,5892122
527,GOOGL.O,2018-02-05T00:00:00Z,1100.61,1114.99,1056.74,1062.39,4177469
528,GOOGL.O,2018-02-06T00:00:00Z,1033.98,1087.375,1030.01,1084.43,3831524
529,GOOGL.O,2018-02-07T00:00:00Z,1084.97,1086.53,1054.62,1055.41,2597094
530,GOOGL.O,2018-02-08T00:00:00Z,1059.87,1063.93,1004.7,1007.71,3339601
531,GOOGL.O,2018-02-09T00:00:00Z,1025.88,1051.72,997.0,1046.27,4917970
532,GOOGL.O,2018-02-12T00:00:00Z,1056.67,1065.57,1045.49,1054.56,2812011
533,GOOGL.O,2018-02-13T00:00:00Z,1050.0,1061.22,1046.92,1054.14,1579258
534,GOOGL.O,2018-02-14T00:00:00Z,1054.32,1075.47,1049.8,1072.7,2065202
535,GOOGL.O,2018-02-15T00:00:00Z,1083.45,1094.1,1067.23,1091.36,1869763
536,GOOGL.O,2018-02-16T00:00:00Z,1093.38,1108.31,1091.55,1095.5,1997405
537,GOOGL.O,2018-02-20T00:00:00Z,1092.76,1116.29,1090.0,1103.59,1687656
538,GOOGL.O,2018-02-21T00:00:00Z,1109.1,1136.2,1107.51,1113.75,2074321
539,GOOGL.O,2018-02-22T00:00:00Z,1119.17,1125.46,1105.15,1109.9,1400536
540,GOOGL.O,2018-02-23T00:00:00Z,1118.66,1129.0,1108.4373,1128.09,1264638
541,GOOGL.O,2018-02-26T00:00:00Z,1131.86,1144.2,1129.34,1143.7,1545619
